mois,dep,estim_rsa,rsa
2017-01-01,01,0,7660
2017-01-01,02,0,17490
2017-01-01,03,0,9470
2017-01-01,04,0,4290
2017-01-01,05,0,2850
2017-01-01,06,0,25010
2017-01-01,07,0,6530
2017-01-01,08,0,10770
2017-01-01,09,0,5990
2017-01-01,10,0,9630
2017-01-01,11,0,16930
2017-01-01,12,0,4050
2017-01-01,13,0,78990
2017-01-01,14,0,15200
2017-01-01,15,0,2180
2017-01-01,16,0,10220
2017-01-01,17,0,16360
2017-01-01,18,0,9500
2017-01-01,19,0,3370
2017-01-01,2A,0,2550
2017-01-01,2B,0,3910
2017-01-01,21,0,9300
2017-01-01,22,0,10530
2017-01-01,23,0,2770
2017-01-01,24,0,10370
2017-01-01,25,0,12270
2017-01-01,26,0,12110
2017-01-01,27,0,13290
2017-01-01,28,0,8300
2017-01-01,29,0,17440
2017-01-01,30,0,30980
2017-01-01,31,0,36920
2017-01-01,32,0,3860
2017-01-01,33,0,41540
2017-01-01,34,0,41010
2017-01-01,35,0,17060
2017-01-01,36,0,4880
2017-01-01,37,0,13600
2017-01-01,38,0,24780
2017-01-01,39,0,3720
2017-01-01,40,0,7760
2017-01-01,41,0,7210
2017-01-01,42,0,16910
2017-01-01,43,0,3200
2017-01-01,44,0,29120
2017-01-01,45,0,14870
2017-01-01,46,0,3600
2017-01-01,47,0,9570
2017-01-01,48,0,1240
2017-01-01,49,0,15990
2017-01-01,50,0,7900
2017-01-01,51,0,13940
2017-01-01,52,0,4370
2017-01-01,53,0,3760
2017-01-01,54,0,22490
2017-01-01,55,0,5200
2017-01-01,56,0,13890
2017-01-01,57,0,27650
2017-01-01,58,0,5740
2017-01-01,59,0,113130
2017-01-01,60,0,19430
2017-01-01,61,0,7220
2017-01-01,62,0,56600
2017-01-01,63,0,15410
2017-01-01,64,0,14610
2017-01-01,65,0,5520
2017-01-01,66,0,21690
2017-01-01,67,0,27430
2017-01-01,68,0,16530
2017-01-01,69,0,45720
2017-01-01,70,0,4620
2017-01-01,71,0,10340
